"personne,""discipline"",""nation"",""anneeMin"",""anneeMax"",""nbOr"",""nbArgent"",""nbBronze"",""total"""
"http://dbpedia.org/resource/Kirsty_Coventry,""Swimming"",""ZIM"",2004,2008,2,4,1,7"
"http://dbpedia.org/resource/Ivar_Ballangrud,""Speed skating"",""NOR"",1928,1936,4,2,1,7"
"http://dbpedia.org/resource/Viktor_An,""Short-track speed skating"",""KOR"",2006,2014,5,0,2,7"
"http://dbpedia.org/resource/Josef_Stalder,""Gymnastics"",""SUI"",1948,1952,1,3,3,7"
"http://dbpedia.org/resource/Andrea_Ehrig-Mitscherlich,""Speed skating"",""GDR"",1976,1988,1,5,1,7"
"http://dbpedia.org/resource/Denis_Ablyazin,""Gymnastics"",""ROC"",2012,2020,1,4,2,7"
"http://dbpedia.org/resource/Giulio_Gaudini,""Fencing"",""ITA"",1928,1936,1,4,2,7"
"http://dbpedia.org/resource/Mitsuo_Tsukahara,""Gymnastics"",""JPN"",1968,1976,3,1,3,7"
"http://dbpedia.org/resource/Aliya_Mustafina,""Gymnastics"",""RUS"",2012,2016,2,2,3,7"
"http://dbpedia.org/resource/Natalie_Geisenberger,""Luge"",""GER"",2010,2022,6,0,1,7"
"http://dbpedia.org/resource/Grant_Hackett,""Swimming"",""AUS"",2000,2008,3,3,1,7"
"http://dbpedia.org/resource/Einar_Liberg,""Shooting"",""NOR"",1908,1924,4,2,1,7"
"http://dbpedia.org/resource/Pieter_van_den_Hoogenband,""Swimming"",""NED"",2000,2004,3,2,2,7"
"http://dbpedia.org/resource/Masao_Takemoto,""Gymnastics"",""JPN"",1952,1960,1,3,3,7"
"http://dbpedia.org/resource/Johannes_Høsflot_Klæbo,""Cross-country skiing"",""NOR"",2018,2022,5,1,1,7"
"http://dbpedia.org/resource/Marte_Olsbu_Røiseland,""Biathlon"",""NOR"",2018,2022,3,2,2,7"
"http://dbpedia.org/resource/Libby_Trickett,""Swimming"",""AUS"",2004,2012,4,1,2,7"
"http://dbpedia.org/resource/Eric_Frenzel,""Nordic combined"",""GER"",2010,2022,3,2,2,7"
"http://dbpedia.org/resource/Maria_Gorokhovskaya,""Gymnastics"",""URS"",1952,1952,2,5,0,7"
"http://dbpedia.org/resource/Eugen_Mack,""Gymnastics"",""SUI"",1928,1936,1,4,2,7"
"http://dbpedia.org/resource/Irena_Szewińska,""Athletics"",""POL"",1964,1976,3,2,2,7"
"http://dbpedia.org/resource/Marja-Liisa_Kirvesniemi,""Cross-country skiing"",""FIN"",1984,1994,3,0,4,7"
"http://dbpedia.org/resource/Yelena_Välbe,""Cross-country skiing"",""EUN"",1992,1998,3,0,4,7"
"http://dbpedia.org/resource/Ildikó_Rejtő,""Fencing"",""HUN"",1960,1976,2,3,2,7"
"http://dbpedia.org/resource/Shannon_Miller,""Gymnastics"",""USA"",1992,1996,2,2,3,7"
"http://dbpedia.org/resource/Martin_Fourcade,""Biathlon"",""FRA"",2010,2018,6,1,0,7"
"http://dbpedia.org/resource/Emily_Seebohm,""Swimming"",""AUS"",2008,2020,3,3,1,7"
"http://dbpedia.org/resource/Miho_Takagi_(speed_skater),""Speed skating"",""JPN"",2018,2022,2,4,1,7"
"http://dbpedia.org/resource/Felix_Gottwald,""Nordic combined"",""AUT"",2002,2010,3,1,3,7"
"http://dbpedia.org/resource/Nadia_Comăneci,""Gymnastics"",""ROU"",1976,1980,3,3,1,7"
"http://dbpedia.org/resource/Simone_Manuel,""Swimming"",""USA"",2016,2024,2,4,1,7"
"http://dbpedia.org/resource/Wu_Minxia,""Diving"",""CHN"",2004,2016,5,1,1,7"
"http://dbpedia.org/resource/Clas_Thunberg,""Speed skating"",""FIN"",1924,1928,5,1,1,7"
"http://dbpedia.org/resource/Dagmar_Hase,""Swimming"",""GER"",1992,1996,1,5,1,7"
"http://dbpedia.org/resource/Alexander_Dityatin,""Gymnastics"",""URS"",1976,1980,2,5,0,7"
"http://dbpedia.org/resource/Krisztina_Egerszegi,""Swimming"",""HUN"",1988,1996,5,1,1,7"
"http://dbpedia.org/resource/Veronica_Campbell_Brown,""Athletics"",""JAM"",2000,2016,3,2,2,7"
"http://dbpedia.org/resource/Aaron_Peirsol,""Swimming"",""USA"",2000,2008,5,2,0,7"
"http://dbpedia.org/resource/Kosuke_Kitajima,""Swimming"",""JPN"",2004,2012,4,1,2,7"
"http://dbpedia.org/resource/Tom_Jager,""Swimming"",""USA"",1984,1992,5,1,1,7"
"http://dbpedia.org/resource/Pavel_Lednyov,""Modern pentathlon"",""URS"",1968,1980,2,2,3,7"
"http://dbpedia.org/resource/Lloyd_Spooner,""Shooting"",""USA"",1920,1920,4,1,2,7"
"http://dbpedia.org/resource/Martina_Sáblíková,""Speed skating"",""CZE"",2010,2022,3,2,2,7"
"http://dbpedia.org/resource/Vladimir_Smirnov_(skier),""Cross-country skiing"",""KAZ"",1988,1998,1,4,2,7"
